item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
34,1,P102,caught,76.59,671.6696639,1115.414196,350,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
8,1,P102,pot,81.51,682.3145094,1068.635162,310,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
5,1,P102,bod,NA,660.4742677,1097.993598,340,ɑ,AA,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
9,1,P102,bed,75.34,493.5025321,1742.592845,340,ɛ,EH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
31,1,P102,pud,77.51,585.8222522,1430.82361,360,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
32,1,P102,putt,79.18,624.8408981,1304.730542,270,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
6,1,P102,bot,NA,815.9921201,2238.22335,310,ɑ,AA,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
12,1,P102,pet,87.89,587.8608013,1685.41098,310,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
18,1,P102,bit,80.83,446.8425137,1786.988423,300,ɪ,IH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
1,1,P102,bad,76.78,640.9086715,1729.650931,380,æ,AE,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
7,1,P102,pod,79.51,626.2436969,1050.471789,380,ɑ,AA,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
11,1,P102,ped,83.35,568.4545272,1739.658916,392.72,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
17,1,P102,bid,80.21,388.2067132,1816.868425,310,ɪ,IH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
9,2,P102,bed,81.71,526.9972787,1781.10116,340,ɛ,EH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
18,2,P102,bit,80.94,372.7566488,1879.61597,290,ɪ,IH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
1,2,P102,bad,78.01,655.2374008,1689.515063,380,æ,AE,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
2,1,P102,bat,76.8,680.015739,1661.328918,380,æ,AE,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
10,1,P102,bet,80.88,549.1779717,1750.982521,360,ɛ,EH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
11,2,P102,ped,80.82,532.0820931,1746.85829,460.14,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
