,FB Whiff%,FB SwStr%,FB CSW%,BB Whiff%,BB SwStr %,BB CSW%,,,,TOT,FB TOT,FB Balls ,FB Strikes,FB Fouls ,FB BIP,FB CS,FB SS,FB Swings,FB CSW,SL TOT,SL Balls,SL Strikes,SL Fouls,SL BIP,SL CS,SL SS,SL Swings,SL CSW,CH TOT,CH Balls ,CH Strikes,CH Fouls,CH BIP,CH CS,CH SS,CH Swings,CH CSW,CB total,CB balls,CB strikes,CB fouls,CB bip,CB cs,CB ss,CB swings,CB csw,FB,GB,FB%,GB%,NC Counts,CS%,FastB%,CB/SL%,CH%,BF,2K Counts,1st Pitch Strikes,Strike%,1PK%,2/3 k%,GB%/FB%,CC%,FN%,2/3 Strikes,<3p AB,K,Average Miss,100-Average Miss,Competitive Pitch%
Beltrand,0.237,0.1363636364,0.2424242424,0.3,0.1,0.1333333333,,,,105,66,21,45,12,17,7,9,38,16,30,19,11,0,7,1,3,10,4,4,1,3,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,19,8,0.7037037037,0.2962962963,10,0.0857142857,0.6761904762,0.2857142857,0.0380952381,34,7,19,0.5619047619,0.5588235294,0.3333333333,0.296,0.7058823529,0.4285714286,7,13,3,9.24,90.76,87.5
Blum,0.176,0.08108108108,0.2567567568,0.1428571429,0.0303030303,0.2424242424,,,,114,74,27,47,13,15,13,6,34,19,33,20,14,0,6,7,1,7,8,1,1,0,0,0,0,0,0,0,7,6,1,0,0,0,1,1,1,13,8,0.619047619,0.380952381,8,0.1754385965,0.701754386,0.2894736842,0.008771929825,31,11,14,0.5438596491,0.4516129032,0.3043478261,0.381,0.7419354839,0.4545454545,7,8,5,13.3,86.7,90.3
Brumley,0.281,0.1216216216,0.3783783784,0.3333333333,0.1014492754,0.2898550725,,,,144,74,23,51,5,18,19,9,32,28,69,35,34,3,11,13,7,21,20,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,18,0.3793103448,0.6206896552,10,0.2291666667,0.5138888889,0.4791666667,0.006944444444,37,16,17,0.5972222222,0.4594594595,0.3333333333,0.621,0.7297297297,0.4375,10,7,7,9.27,90.73,91.5
Enyeart,0.220,0.1170212766,0.2872340426,0.3333333333,0.0625,0.40625,,,,127,94,28,66,23,16,16,11,50,27,32,15,17,0,4,11,2,6,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0.4,0.6,4,0.2125984252,0.7401574803,0.2519685039,0.007874015748,29,15,15,0.6535433071,0.5172413793,0.7142857143,0.600,0.8620689655,0.4666666667,15,8,7,9.79,90.21,92.75
Ewert,0.219,0.0843373494,0.2771084337,0.1428571429,0.05,0.25,,,,104,83,35,48,11,14,16,7,32,23,20,9,11,1,5,4,1,7,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,0.1935483871,0.4516129032,12,0.1923076923,0.7980769231,0.1923076923,0.009615384615,31,8,13,0.5769230769,0.4193548387,0.347826087,0.700,0.6129032258,0.25,8,8,2,7.59,92.41,89.2
Haaland,0.107,0.05,0.1333333333,0.1428571429,0.04761904762,0.1904761905,,,,84,60,27,33,14,11,5,3,28,8,21,11,10,2,4,3,1,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0.8,0.2,8,0.09523809524,0.7023809524,0.25,0.04761904762,21,7,6,0.5119047619,0.2857142857,0.2777777778,0.200,0.619047619,0.2857142857,5,3,2,8.97,91.03,72.9
Haas,0.273,0.1304347826,0.3260869565,0.4444444444,0.1666666667,0.3333333333,,,,70,46,15,31,8,8,9,6,22,15,24,11,13,0,5,4,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0.6428571429,0.3571428571,6,0.1857142857,0.6571428571,0.3428571429,0,18,10,10,0.6285714286,0.5555555556,0.4375,0.357,0.6666666667,0.4,7,2,4,9.08,90.92,85
Hruska,0.175,0.08536585366,0.3292682927,0.1538461538,0.05128205128,0.358974359,,,,132,82,22,60,11,22,20,7,40,27,39,14,25,8,3,12,2,13,14,10,6,4,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,13,15,0.4642857143,0.5357142857,1,0.25,0.6287878788,0.2954545455,0.07575757576,34,17,23,0.6742424242,0.6764705882,0.8,0.536,0.9705882353,0.2941176471,16,14,5,8.315,91.685,96
Kornfeld,0.226,0.09459459459,0.2837837838,0.3636363636,0.1632653061,0.387755102,,,,124,74,29,45,9,15,14,7,31,21,49,16,33,9,5,11,8,22,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0.619047619,0.380952381,11,0.2016129032,0.5967741935,0.3951612903,0.008064516129,32,16,18,0.6290322581,0.5625,0.619047619,0.381,0.65625,0.4375,13,11,7,8.35,91.65,88.6
Lavin,0.478,0.22,0.44,0.3333333333,0.06451612903,0.3548387097,,,,89,50,16,34,6,6,11,11,23,22,31,16,15,3,1,9,2,6,11,3,1,2,0,1,1,0,1,1,4,3,1,0,1,0,0,1,0,4,4,0.5,0.5,6,0.2359550562,0.6179775281,0.3483146067,0.03370786517,20,11,12,0.5842696629,0.6,0.6111111111,0.500,0.7,0.7272727273,11,2,8,10.53,89.47,94.95
